Date,price,log_return,volatility,state,regime,split
2021-09-16,4473.75,-0.0015523447127652,0.0047419098387039,0,Bull,train
2021-09-17,4432.990234375,-0.009152630275798,0.0051301974713382,0,Bull,train
2021-09-20,4357.72998046875,-0.0171230777263815,0.0068632904746679,0,Bull,train
2021-09-21,4354.18994140625,-0.0008126886585468,0.0069366741679575,0,Bull,train
2021-09-22,4395.64013671875,0.0094745852242184,0.0080975229369327,0,Bull,train
2021-09-23,4448.97998046875,0.0120616803699373,0.0092806115767816,0,Bull,train
2021-09-24,4455.47998046875,0.0014599428113637,0.0089874337479074,0,Bull,train
2021-09-27,4443.10986328125,-0.0027802439201884,0.0089831156436252,0,Bull,train
2021-09-28,4352.6298828125,-0.0205743177398929,0.010941188565563,0,Bull,train
2021-09-29,4359.4599609375,0.0015679543362843,0.0104118951313172,0,Bull,train
2021-09-30,4307.5400390625,-0.0119812029450159,0.0107946297804825,0,Bull,train
2021-10-01,4357.0400390625,0.0114259521133348,0.011590087930215,0,Bull,train
2021-10-04,4300.4599609375,-0.0130709520486433,0.0110503120240915,0,Bull,train
2021-10-05,4345.72021484375,0.0104695174986009,0.0116669390212907,0,Bull,train
2021-10-06,4363.5498046875,0.0040943993496238,0.0112894432541981,0,Bull,train
2021-10-07,4399.759765625,0.0082640392250663,0.0108672111085968,0,Bull,train
2021-10-08,4391.33984375,-0.0019155566024213,0.0108307924899193,0,Bull,train
2021-10-11,4361.18994140625,-0.0068894416443399,0.0109640000912165,0,Bull,train
2021-10-12,4350.64990234375,-0.0024197056865542,0.0088131666504047,0,Bull,train
2021-10-13,4363.7998046875,0.0030179558702307,0.0088544931039818,0,Bull,train
2021-10-14,4438.259765625,0.0169191622857116,0.0091836385201424,0,Bull,train
2021-10-15,4471.3701171875,0.0074325206371899,0.0088570449213303,0,Bull,train
2021-10-18,4486.4599609375,0.0033690878018042,0.0069468849556488,0,Bull,train
2021-10-19,4519.6298828125,0.0073661427842353,0.0067024014760719,0,Bull,train
2021-10-20,4536.18994140625,0.0036573335985607,0.0067025908777902,0,Bull,train
2021-10-21,4549.77978515625,0.0029913931683598,0.0065244317330735,0,Bull,train
2021-10-22,4544.89990234375,-0.0010731292246628,0.0064539052299424,0,Bull,train
2021-10-25,4566.47998046875,0.0047369594408532,0.0053376039498643,0,Bull,train
2021-10-26,4574.7900390625,0.0018181414322437,0.0048657374633582,0,Bull,train
2021-10-27,4551.68017578125,-0.0050643703711052,0.0058146371722261,0,Bull,train
2021-10-28,4596.419921875,0.0097812884241843,0.0043306091395304,0,Bull,train
2021-10-29,4605.3798828125,0.0019474372317169,0.004119621839166,0,Bull,train
2021-11-01,4613.669921875,0.0017984589459025,0.0041319190412057,0,Bull,train
2021-11-02,4630.64990234375,0.0036736071203886,0.0038322469102067,0,Bull,train
2021-11-03,4660.56982421875,0.0064404946128888,0.0040276333053133,0,Bull,train
2021-11-04,4680.06005859375,0.0041732223428176,0.0040542212266688,0,Bull,train
2021-11-05,4697.52978515625,0.003725850045285,0.0038189681231733,0,Bull,train
2021-11-08,4701.7001953125,0.000887394060701,0.0038522503287096,0,Bull,train
2021-11-09,4685.25,-0.0035049109263987,0.0043559757538716,0,Bull,train
2021-11-10,4646.7099609375,-0.0082598421638611,0.0050285250627881,0,Bull,train
2021-11-11,4649.27001953125,0.0005507883329887,0.0042404152604877,0,Bull,train
2021-11-12,4682.85009765625,0.0071966975641295,0.0046556075096364,0,Bull,train
2021-11-15,4682.7998046875,-1.0739878016252646e-05,0.004685042349761,0,Bull,train
2021-11-16,4700.89990234375,0.0038577790571263,0.0046949435299299,0,Bull,train
2021-11-17,4688.669921875,-0.0026050154828958,0.0045061147149634,0,Bull,train
2021-11-18,4704.5400390625,0.0033790647401712,0.0044427172024345,0,Bull,train
2021-11-19,4697.9599609375,-0.0013996446049873,0.0043261172005251,0,Bull,train
2021-11-22,4682.93994140625,-0.0032022583169606,0.0044260212030925,0,Bull,train
2021-11-23,4690.7001953125,0.0016557613831942,0.0043234171462136,0,Bull,train
2021-11-24,4701.4599609375,0.0022912237766679,0.0031914177078643,0,Bull,train
2021-11-26,4594.6201171875,-0.0229870111593211,0.0082966229848292,0,Bull,train
2021-11-29,4655.27001953125,0.0131138360828231,0.0091297899636895,0,Bull,train
2021-11-30,4567.0,-0.0191433811878489,0.0108394208299072,0,Bull,train
2021-12-01,4513.0400390625,-0.011885541457957,0.0109554369259989,0,Bull,train
2021-12-02,4577.10009765625,0.0140946383960578,0.0123845403183326,0,Bull,train
2021-12-03,4538.43017578125,-0.0084844551417386,0.012336677786313,0,Bull,train
2021-12-06,4591.669921875,0.0116625993096857,0.0132524497666949,0,Bull,train
2021-12-07,4686.75,0.0204956031862533,0.0150656578272776,0,Bull,train
2021-12-08,4701.2099609375,0.0030805355865854,0.0150889209590455,0,Bull,train
2021-12-09,4667.4501953125,-0.0072069882325234,0.0152424869688074,0,Bull,train
2021-12-10,4712.02001953125,0.0095037691182096,0.0133105314558473,0,Bull,train
2021-12-13,4668.97021484375,-0.0091781583427934,0.0132060296399976,0,Bull,train
2021-12-14,4634.08984375,-0.0074987228546241,0.0117329124735218,0,Bull,train
2021-12-15,4709.85009765625,0.0162162673518917,0.0115456479265721,0,Bull,train
2021-12-16,4668.669921875,-0.0087818633111123,0.0116482894904898,0,Bull,train
2021-12-17,4620.64013671875,-0.0103409645840546,0.0118467234329542,0,Bull,train
2021-12-20,4568.02001953125,-0.0114533983232565,0.011962111090383,0,Bull,train
2021-12-21,4649.22998046875,0.0176217553851962,0.0114236181471962,0,Bull,train
2021-12-22,4696.56005859375,0.0101287280291266,0.0118975046025029,0,Bull,train
2021-12-23,4725.7900390625,0.0062044126852516,0.0117623568655284,0,Bull,train
2021-12-27,4791.18994140625,0.0137440515736066,0.012162886483576,0,Bull,train
2021-12-28,4786.35009765625,-0.001010665398887,0.0116156828810097,0,Bull,train
2021-12-29,4793.06005859375,0.0014009134018575,0.0110952105674555,0,Bull,train
2021-12-30,4778.72998046875,-0.0029942338419051,0.0102557201409495,0,Bull,train
2021-12-31,4766.18017578125,-0.0026296343734735,0.0097454405580795,0,Bull,train
2022-01-03,4796.56005859375,0.0063538241703877,0.0087642389770996,0,Bull,train
2022-01-04,4793.5400390625,-0.0006298202522039,0.0072105022954942,0,Bull,train
2022-01-05,4700.580078125,-0.0195832643045008,0.0091957461402941,0,Bull,train
2022-01-06,4696.0498046875,-0.0009642337401807,0.0086375065123177,0,Bull,train
2022-01-07,4677.02978515625,-0.0040584410823356,0.0084240347108121,0,Bull,train
2022-01-10,4670.2900390625,-0.0014420705375393,0.0066441072119856,0,Bull,train
2022-01-11,4713.06982421875,0.0091182864523986,0.0076079926909657,0,Bull,train
2022-01-12,4726.35009765625,0.0028137920146669,0.0076815000585898,0,Bull,train
2022-01-13,4659.02978515625,-0.0143460292343995,0.008712601935882,0,Bull,train
2022-01-14,4662.85009765625,0.0008196442695904,0.0087765594233707,0,Bull,train
2022-01-18,4577.10986328125,-0.0185591053980083,0.0095803386021502,0,Bull,train
2022-01-19,4532.759765625,-0.00973679094146,0.0095850727294242,0,Bull,train
2022-01-20,4482.72998046875,-0.0110987423043322,0.0085261916765037,0,Bull,train
2022-01-21,4397.93994140625,-0.0190959953246352,0.0095045656453568,0,Bull,train
2022-01-24,4410.1298828125,0.0027679047582704,0.0099392776484174,0,Bull,train
2022-01-25,4356.4501953125,-0.0122465905568667,0.0099908626095665,0,Bull,train
2022-01-26,4349.93017578125,-0.001497756925886,0.0085536737827391,0,Bull,train
2022-01-27,4326.509765625,-0.0053986351999704,0.0077551238751564,0,Bull,train
2022-01-28,4431.85009765625,0.0240559679147356,0.0126735675333199,0,Bull,train
2022-01-31,4515.5498046875,0.0187098262229845,0.0146886961135975,0,Bull,train
2022-02-01,4546.5400390625,0.0068395603483182,0.0139152559300244,0,Bull,train
2022-02-02,4589.3798828125,0.0093784004483232,0.0138441263689188,0,Bull,train
2022-02-03,4477.43994140625,-0.0246934717201199,0.0157296434292653,2,Sideways,train
2022-02-04,4500.52978515625,0.0051436784398628,0.0142811598765863,2,Sideways,train
2022-02-07,4483.8701171875,-0.0037085809278281,0.0144042032520266,2,Sideways,train
2022-02-08,4521.5400390625,0.0083661134666339,0.013648331387267,2,Sideways,train
